"序号","图像存储名称","画作名称","作者姓名","作者出生年份","作者出生地","作者流派","创作年代","创作朝代","实际尺寸","收藏机构","分类","题材","画作流派","风格","色彩","构图","意境","笔法","墨法","绘画材料","颜料","印章","文化符号","文本生成","音乐情境生成","收集平台"
"92","1（92）","双清图","周顺昌","1584","江苏苏州","明代文人画家","1623","明代","120×37cm","","花鸟画","","明代文人画","写意","墨色","垂直构图","清幽、生动","笔意纵横，天真烂漫","","纸本","植物染料","","铃印：周顺昌印、布帆无恙","这幅画作呈现出精致的构图，以竹子与菊花的交错生长，营造出一种自然和谐的视觉平衡。线条运用纤细而自如，竹子的线条柔中带刚，显得极为生动；而菊花的笔触则柔和细腻，与竹子的遒劲形成对比，增添了丰富的动感与姿态。画作中明暗对比运用微妙，通过墨色的层次变化，实现了对空间感的有效表现。细腻的肌理描绘，尤其是在竹节和花瓣的处理上，展现了画家对自然细节的深入观察与掌握，使整体画面更为生动真实。","本乐曲意境宁静，诗意盎然。应以古琴、箫为乐器，以道教禅修乐风，节奏舒缓，表现竹林清幽，花草繁茂的景象。琴弦的柔和交织，箫的柔和气息，勾勒出画面宁静、沉思的气氛，反映出竹子和菊花的清雅、朴素。","雅昌"
"93","1（93）","大鹏写生图","傅山","1607","山西阳曲","明末清初文人画家","明末清初","清代","63×45cm","","花鸟画","","明末清初文人画派","写意","墨色","","豪放、生动","","","纸本","植物染料","","铃印：傅山、青主藏印：朝鲜安岐珍藏、麓邨宝","这幅画作展示了极高的线条质量与技艺，笔触流畅自然，线条纤细却充满力度，捕捉到主题物体的核心特征。动态与姿态方面，描绘的生物呈现出一种俯冲欲展翅而飞的瞬间，身体的姿势充满动感与平衡，仿佛随时可能振翅而起。构图上，画面布局讲究，物体放置于画幅的左下角，创造出视觉上的开放空间，给人一种无限遐想的感觉。肌理上，羽毛的纹理处理细致，虚实相间，增添了画面的丰富感与真实感。","本乐曲意境宁静致远，富有诗意，以古琴、箫为乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现孤鹤静立的宁静景象，体现一刻的静谧与永恒的优雅。","雅昌"
"94","1（94）","花鸟图","阙岚","1758","安徽桐城","清代画家","1843","清代","103×40cm","","花鸟画","","清代文人画","工笔","设色","","清幽、生动","","","绢本","植物染料","","铃印：臣岚印信、小龙山人","这幅画作展现出精致的构图，通过将枝叶和鸟儿巧妙地组合在一起，创造了一种视觉上的和谐。色彩搭配柔和且自然，淡雅的背景与鲜明的红色叶片形成对比，使主体更加突出。线条质量细腻流畅，描绘出植物和鸟类的自然形态，同时又不失力度。动态与姿态生动自然，鸟儿的姿态特别细致，营造出栩栩如生的情境。从尺度与比例的角度来看，各元素的比例拿捏得当，增添了整幅画的视觉稳定性和均衡感。","这首乐曲的意境是宁静而富有诗意的，运用古琴和箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现两只鸟儿在枝头，在细枝绿叶间优雅栖息的宁静自然景象。","雅昌"
"95","1（95）","古松图","鲁得之","1585","浙江杭州","明代浙派","1660","明末清初","159×59cm","","花鸟画","","明代浙派","写意","墨色","垂直构图","清幽、生动","","","纸本","植物染料","","铃印：千岩居士","这幅画通过精致的线条质量展现了出色的功力，线条或粗或细，极具变化，辅以精妙的浓淡处理，使苍劲的松树得以跃然纸上。构图上，树干纵横交错，形成一种引导视线的纵深感，给观者以沉浸的空间体验。表面的肌理通过细腻的笔触被生动地勾勒出来，不仅增强了画面的真实感，更在视觉上引发触感联想。松树的形状独特，古拙而充满生命力，展现了自然中松树的坚韧品质。树枝的动态与姿态同样精彩，展现出风中的韧劲与韵律，使整幅画作充满了动感和生机。","本曲意境宁静、静谧，以古琴、箫为伴奏，采用中国传统古典乐风，节奏舒缓流畅，表现古松林立、云雾缭绕、空灵幽深的山水画境，体现古树的悠远典雅与沉静力量，令人心生宁静与沉思，捕捉大自然之美的真谛与画中冥想的氛围。","雅昌"
"96","1（96）","杞菊延龄 行书七言诗一首","陈豪 张謇","陈豪（1839年），张書（1853年)","陈豪（浙江仁和），张(江苏海门","清代文人画家","","清代","14×40cm","","花鸟画","","清代文人画","写意","墨色、淡彩","","生动、活泼","","","纸本","植物染料","","铃印：蓝、洲","这幅画作展现了卓越的线条质量，线条流畅而有力，体现出书法中的艺术韵律。构图结构平衡，尽显画中元素的和谐美感。色彩搭配上，采用淡雅的色调，使得整幅画面在视觉上显得宁静而雅致。尺度与比例的把握精准，元素间的大小关系使画面既饱满又不显拥挤。象征与图像方面，通过花卉与书法的结合，成功传达了对自然与文人的敬意，蕴含着丰富的文化意蕴。","本乐曲意境诗意宁静，以古琴、箫、筝等乐器演奏，采用中国传统古典乐风，节奏舒缓流畅，表现宁静、沉思的景象。乐曲应体现花卉的细腻笔触和淡雅色彩，与书法的优美相得益彰。乐曲应体现自然的宁静和中国古典艺术的诗意，体现画中均衡、低调的美。","雅昌"
"97","1（97）","兰草","陶濬宣","1846","浙江绍兴","清末著名书法家","1905","清代","17×45cm","","花鸟画","","清代文人画","写意","墨色","","清幽、生动","","","纸本","植物染料","","铃印：陶、陶浚宣","这幅扇面画作展现出简约而富有生命力的线条质量，仿佛每一笔皆经过深思熟虑，传递出兰草的轻盈与自然之感。构图上，艺术家巧妙利用扇形的特殊比例，创造出中心向外扩散的视觉效果，提升画面的动态感。兰草的姿态错落有致，富有自然的韵律，仿佛在微风中轻舞。画面的象征与图像蕴含着高雅与隐逸的精神，正如传统文化中兰草的寓意。整体尺度与比例经过精心设计，达到了自然与艺术的完美平衡。","本乐曲意境宁静致远，富有诗意，以古琴、箫为乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现出儒雅静谧的景象。","雅昌"
"98","1（98）","兰草图","陈继儒 董其昌","陈继儒（1558）
董其昌（1555）","华亭（今上海闵行区马桥镇）","“华亭派”","","明代","25×250cm","","花鸟画","","明代文人画","写意","墨色","","清幽、生动","","","纸本","植物染料","","铃印：陈继儒印、眉公鉴藏印：玄宰、董其昌、虞臣、黄家珍藏、黄虞臣、黄宗唐","这幅画作以精致的线条质量为特征，笔触流畅而干净，充分体现了东方艺术对线条的重视。构图简洁而富有余韵，空白与绘图区域的相互平衡赋予作品和谐之美。画中的动态和姿态通过兰草的自然延展表现得淋漓尽致，每一根线条都传达出一种优雅的生机。象征与图像的运用极其巧妙，兰草作为高洁品格的象征，提升了作品的深度内涵。整体的尺度与比例处理得当，兰草在画面中显得生动真实，同时保持了超然的意境。","本乐曲意境宁静致远，富有诗意，以古琴、箫为乐器，采用中国传统古典乐风，节奏舒缓流畅，表现清雅朴素、静思静谧的景象，犹如在宁静自然的园林中独自漫步。","雅昌"
"99","1（99）","梅雀报春图","王渊","13世纪-14世纪中叶","钱塘（今浙江省杭州市）","元代画家","","元代","33.5×251cm","","花鸟画","","元代文人画","工笔","设色","","生动、活泼","","","绢本","植物染料","","铃印：澹轩鉴藏印：乾隆御览之宝、古稀天子、寿、石渠宝笈、宝笈三编、乐寿堂鉴藏宝、八征耄念之宝、乾隆鉴赏、三希堂精鉴玺、宜子孙、嘉庆","这幅画作呈现了典雅而平衡的构图，枝桠在画面中自然延展，形成动态的视觉流动，活泼生动。线条细腻且富有质感，枝条的曲线与鸟雀的动态巧妙交织，使画面充满生机与韵律。动态与姿态的表现尤为出色，鸟雀姿态各异，或静或动，栩栩如生，展现了春天复苏的活力。色彩搭配以柔和的棕色和白色为主，辅以枝头点缀的腊梅，和谐且充满诗意。作品中的图像不仅描绘自然景物，更象征了生机勃勃、生命更新的主题。","本曲意境宁静致远，充满诗意，以古筝、箫、琵琶等乐器演奏，采用中国传统古典音乐风格，节奏舒缓流畅，表现梅花盛开、麻雀成群的宁静景象，给人一种宁静的感觉，给人一种春天温柔苏醒的感觉。","雅昌"
"100","1（100）","墨竹窠石","周亮工","1612","江西省金溪县合市乡","明末清初文学家、篆刻家、收藏家","","清代","139×70cm","","花鸟画","","明代文人画","写意","墨色","","清幽、生动","","","纸本","植物染料","","铃印：栎园老人
鉴藏印：耘甫审定之印、广堪斋毕氏藏","这幅画作以流畅而细腻的线条质量捕捉了竹子的精髓，每一笔都显示出画家的娴熟技巧和对自然观察的敏锐。构图上，竹子和石头之间的布置均衡，呈现出自然中的和谐美感，背景中的丛林深邃却不令人感到压抑。动态与姿态方面，笔直竹干间的细微弯曲与重叠的叶片制造出微风拂动般的生命力，仿佛能使观者感受到拂过的清风。象征与图像则通过竹石的组合传达了坚韧与高洁的精神内涵。画面尺度与比例和谐，为观者提供了一种宁静且具深度的视觉体验。","本乐曲意境宁静祥和，以古琴、箫、二胡等乐器为主，采用中国传统古典音乐风格，节奏舒缓流畅，表现宁静的竹林景象。","雅昌"
"101","1（101）","空谷幽兰","王铎","","河南孟津","明代画家","1622","明末清初","66×37cm","","花鸟画","","明代文人画","写意","墨色","","清幽、生动","","","纸本","植物染料","","印鉴：王铎之印(白）、海鹤天风(白）、吾庐(朱)鉴藏印：退密(朱）、(朱）、身世沧桑(白）、李慎获观(朱）、益斋审定真迹（白)","这幅画作运用笔墨线条的质量来凸显植物的柔韧和生命力，线条时而轻柔，时而浓重，流畅地描绘出兰草的自然曲线。构图上，画面分布错落有致，兰花与叶片呈现出一种自然生长的平衡，展现出怡人的空灵之美。动态与姿态方面，花瓣和叶片似在微风中轻轻摇曳，充满生气勃勃的韵律感。明暗对比则通过墨色的层次变化体现，既增强了画面的立体感，也营造出雅致而又富有深度的视觉效果。","这首乐曲的意境是宁静而富有诗意的，应以古筝和箫为伴奏乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现清幽的园林景象，兰花在微风中轻轻摇曳。","雅昌"
"102","1（102）","狮林一角","邓春澍","1884","江苏武进","近现代画家","","近现代","97×40cm","","花鸟画","","近现代文人画","写意","墨色","","清幽、生动","","","纸本","植物染料","","铃印：青城老人、一生知己祗名山、不虚生、云溪石圣","这幅画作以其独特的构图和线条质量脱颖而出。构图中，石林的主体呈竖向延伸，与留白形成鲜明对比，创造了视觉上的高度感。线条流畅而富有变化，强调了石块的天然质感和不规则性。形状上，石头的轮廓抽象且富有韵律，与细腻的笔触相结合，赋予作品丰富的肌理效果。动态与姿态方面，石块的曲线和褶皱似乎在诉说古老的故事，给人一种坚毅而稳重的生命力，静中有动，富有生机。","本乐曲意境宁静、静谧，以古琴、箫为乐器，采用道教静谧的音乐风格，节奏舒缓流畅，表现山间云雾缭绕的宁静景象。古琴的轻柔弹奏，表现岩石的险峻，箫的柔美旋律，表现大自然的宁静和谐，与画作的大气、静谧相得益彰。","雅昌"
